Archivo,Parametro_Analizado,Ancho_Pulso,Tipo_Variable_X,Grupo,Valor_X,Valor_Y
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.237671381683897,17.64375
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.101859163578813,13.02025
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.169765272631355,11.52575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.237671381683897,11.3875
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.101859163578813,7.754
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.169765272631355,6.3355
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.237671381683897,7.1465
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.1527887453682195,13.10425
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.2546479089470325,19.6205
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.3565070725258455,21.40325
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.1527887453682195,6.142333333333333
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.2546479089470325,9.92675
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.3565070725258455,0.01124999999999954
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.1527887453682195,3.3965
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.2546479089470325,4.497
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.3565070725258455,5.24975
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.305577490736439,13.798
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.5092958178940651,20.0
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.713014145051691,23.061
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.305577490736439,3.1575
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.5092958178940651,2.16625
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.713014145051691,4.817
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P30,0.305577490736439,1.7275
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P50,0.5092958178940651,1.519
Analisis_Altura_Rebaba.xlsx,Altura_Rebaba,200 ns,Dens,P70,0.713014145051691,3.3775
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,80.0,157.7845
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,80.0,153.7615
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,80.0,165.454
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,88.0,160.5355
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,88.0,138.095
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,88.0,153.79575
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,90.0,148.80425
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,90.0,146.1105
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,90.0,146.571
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,93.33333333333333,133.63075
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,93.33333333333333,129.766
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,93.33333333333333,126.1845
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,94.0,100.2
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,94.0,132.6365
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,94.0,119.455
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,96.0,123.0335
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,96.0,103.83925
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,96.0,107.50475
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,96.0,80.255
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,96.0,94.3035
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,96.0,89.57175
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,98.0,65.5355
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,98.0,105.3945
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,98.0,134.3015
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P30,98.66666666666667,172.25725
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P50,98.66666666666667,158.7945
Analisis_Angulo.xlsx,Angulo,100 ns,Solap,P70,98.66666666666667,140.6685
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.101859163578813,172.25725
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.169765272631355,158.7945
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.237671381683897,140.6685
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.101859163578813,80.255
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.169765272631355,94.3035
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.237671381683897,89.57175
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.101859163578813,133.63075
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.169765272631355,129.766
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.237671381683897,126.1845
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.1527887453682195,65.5355
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.2546479089470325,105.3945
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.3565070725258455,134.3015
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.1527887453682195,100.2
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.2546479089470325,132.6365
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.3565070725258455,119.455
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.1527887453682195,148.80425
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.2546479089470325,146.1105
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.3565070725258455,146.571
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.305577490736439,123.0335
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.5092958178940651,103.83925
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.713014145051691,107.50475
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.305577490736439,160.5355
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.5092958178940651,138.095
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.713014145051691,153.79575
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P30,0.305577490736439,157.7845
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P50,0.5092958178940651,153.7615
Analisis_Angulo.xlsx,Angulo,100 ns,Dens,P70,0.713014145051691,165.454
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,80.0,160.90475
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,80.0,159.46675
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,80.0,162.07925
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,88.0,153.67
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,88.0,144.37375
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,88.0,139.7245
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,90.0,150.77675
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,90.0,133.339
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,90.0,132.61875
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,93.33333333333333,130.11975
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,93.33333333333333,122.8125
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,93.33333333333333,118.2005
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,94.0,122.90825
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,94.0,106.1255
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,94.0,99.77125
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,96.0,155.15025
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,96.0,84.666
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,96.0,57.96275
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,96.0,97.76675
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,96.0,84.02725
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,96.0,73.6285
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,98.0,114.919
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,98.0,150.94275
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,98.0,149.29025
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P30,98.66666666666667,163.316
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P50,98.66666666666667,144.63875
Analisis_Angulo.xlsx,Angulo,150 ns,Solap,P70,98.66666666666667,166.44575
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.101859163578813,163.316
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P50,0.169765272631355,144.63875
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P70,0.237671381683897,166.44575
Analisis_Angulo.xlsx,Angulo,150 ns,Dens,P30,0.101859163578813,97.76675
